Transaction ID,Date of Sale,Region,Sales Rep,Customer Segment,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Order Status,Delivery Time (Days),Payment Method
6248ec15,2024-07-10,North,Angela Hughes,Small Business,Appliances,Microwave,1,973.67,973.67,Delivered,,Bank Transfer
2bbbcefa,2024-03-15,North,Miss Rachel Allen,Small Business,Clothing,Jeans,6,185.4,1112.4,Returned,1.0,Bank Transfer
882b9cee,2024-03-24,West,Katelyn Gonzalez,Small Business,Food,Chips,6,723.7,4342.2,Returned,19.0,Credit Card
b9f0009c,2024-01-18,South,Austin Becker,Enterprise,Electronics,Camera,5,742.37,3711.85,Returned,9.0,PayPal
d4349e01,2024-03-19,East,Jessica Smith,Individual,Food,Cookies,5,419.93,2099.65,Returned,3.0,PayPal
dd24c1f3,2023-10-20,West,Albert Bridges,Enterprise,Food,Juice,8,59.65,477.2,Delivered,18.0,Credit Card
8dd9aaaf,2023-10-15,South,Jennifer Moore,Enterprise,Furniture,Bookshelf,8,322.13,2577.04,Delivered,,PayPal
10301d04,2023-08-08,Central,Stephen Frazier,Individual,Food,Juice,9,876.29,7886.61,Returned,7.0,Bank Transfer
3c641ba4,2024-07-07,South,Nathaniel Mckenzie,Individual,Toys,Board Game,6,543.19,3259.14,Pending,2.0,Bank Transfer
162075b1,2023-10-02,West,Carla Moreno,Small Business,Food,Pasta,5,393.42,1967.1,Pending,17.0,PayPal
a02c84a3,2023-04-15,North,Kathleen Russell,Enterprise,Appliances,Microwave,7,788.02,5516.14,Delivered,15.0,Bank Transfer
7d2d521e,2024-04-18,Central,Timothy Grant,Enterprise,Electronics,Laptop,3,628.89,1886.67,Delivered,,Bank Transfer
5af6c465,2024-02-26,Central,Crystal Hayes,Individual,Toys,Toy Car,8,842.51,6740.08,Pending,2.0,Credit Card
51d47b10,2023-11-25,West,Karen Roberts,Small Business,Appliances,Air Fryer,9,76.01,684.09,Pending,4.0,PayPal
8d79dff1,2023-02-07,North,Kathryn Medina,Small Business,Appliances,Toaster,9,63.26,569.34,Returned,4.0,PayPal
170a30db,2023-08-30,East,John Perry,Enterprise,Food,Juice,3,273.56,820.68,Pending,20.0,PayPal
3e3799e0,2023-07-04,North,Richard Villegas,Small Business,Appliances,Refrigerator,9,563.9,5075.1,Returned,14.0,Credit Card
f6b6c536,2023-11-06,Central,Dean Miller,Individual,Toys,Doll,2,327.87,655.74,Returned,20.0,PayPal
ec8d4bdd,2023-06-22,Central,Katie Austin,Enterprise,Furniture,Dining Table,10,377.78,3777.8,Pending,,PayPal
fc3c6bdc,2023-11-23,South,Jennifer Reed,Individual,Appliances,Blender,2,65.31,130.62,Returned,7.0,Credit Card
36539e44,2024-07-30,East,Christian Curtis,Enterprise,Electronics,Smartphone,7,707.76,4954.32,Delivered,17.0,Credit Card
